iter	Passed	Remaining
1273	139790	24798
1274	139894	24687
1275	139997	24576
1276	140095	24464
1277	140194	24353
1278	140299	24242
1279	140393	24130
1280	140562	24030
1281	140681	23922
1282	140772	23809
1283	140864	23696
1284	140961	23584
1285	141137	23486
1286	141254	23377
1287	141354	23266
1288	141448	23154
1289	141544	23042
1290	141643	22930
1291	141725	22816
1292	141867	22711
1293	142066	22616
1294	142197	22509
1295	142299	22398
1296	142391	22286
1297	142490	22174
1298	142640	22071
1299	142856	21977
1300	143038	21879
1301	143252	21784
1302	143471	21691
1303	143693	21598
1304	143814	21489
1305	143915	21377
1306	144016	21266
1307	144128	21156
1308	144226	21044
1309	144321	20932
1310	144410	20818
1311	144499	20705
1312	144596	20593
1313	144702	20483
1314	144792	20370
1315	144886	20257
1316	144988	20146
1317	145096	20036
1318	145216	19927
1319	145328	19817
1320	145445	19708
1321	145539	19596
1322	145635	19484
1323	145741	19373
1324	145834	19261
1325	145928	19148
1326	146028	19037
1327	146122	18925
1328	146214	18813
1329	146305	18700
1330	146405	18589
1331	146500	18477
1332	146592	18365
1333	146686	18253
1334	146783	18141
1335	146886	18030
1336	146988	17920
1337	147111	17811
1338	147207	17700
1339	147298	17587
1340	147404	17477
1341	147504	17366
1342	147598	17254
1343	147700	17143
1344	147793	17031
1345	147887	16920
1346	148025	16813
1347	148254	16717
1348	148437	16615
1349	148575	16508
1350	148722	16402
1351	148865	16295
1352	148962	16184
1353	149055	16072
1354	149148	15960
1355	149279	15852
1356	149426	15746
1357	149522	15634
1358	149616	15523
1359	149708	15411
1360	149803	15299
1361	149901	15188
1362	150013	15078
1363	150153	14971
1364	150257	14860
1365	150348	14748
1366	150455	14638
1367	150552	14527
1368	150657	14416
1369	150753	14305
1370	150857	14194
1371	150956	14083
1372	151054	13972
1373	151149	13860
1374	151246	13749
1375	151349	13639
1376	151438	13527
1377	151539	13416
1378	151640	13305
1379	151733	13194
1380	151838	13083
1381	151931	12972
1382	152030	12861
1383	152132	12750
1384	152235	12640
1385	152331	12529
1386	152425	12418
1387	152553	12309
1388	152774	12208
1389	152929	12102
1390	153031	11991
1391	153131	11880
1392	153225	11769
1393	153317	11658
1394	153416	11547
1395	153514	11436
1396	153599	11324
1397	153741	11217
1398	153939	11113
1399	154106	11007
1400	154261	10900
1401	154420	10793
1402	154514	10682
1403	154613	10571
1404	154707	10460
1405	154807	10349
1406	154913	10239
1407	155013	10128
1408	155111	10017
1409	155212	9907
1410	155315	9796
1411	155423	9686
1412	155532	9576
1413	155618	9464
1414	155716	9354
1415	155816	9243
1416	155913	9132
1417	156033	9023
1418	156203	8916
1419	156408	8811
1420	156579	8704
1421	156702	8595
1422	156805	8484
1423	156892	8373
1424	156988	8262
1425	157158	8155
1426	157287	8046
1427	157381	7935
1428	157478	7824
1429	157579	7713
1430	157674	7602
1431	157829	7494
1432	158019	7388
1433	158151	7278
1434	158247	7168
1435	158407	7059
1436	158530	6950
1437	158633	6839
1438	158727	6728
1439	158822	6617
1440	158922	6506
1441	159023	6396
1442	159117	6285
1443	159208	6174
1444	159318	6064
1445	159429	5953
1446	159539	5843
1447	159639	5732
1448	159739	5622
1449	159844	5511
1450	159943	5401
1451	160046	5290
1452	160158	5180
1453	160245	5069
1454	160346	4959
1455	160446	4848
1456	160536	4737
1457	160672	4628
1458	160813	4519
1459	160924	4408
1460	161012	4298
1461	161103	4187
1462	161196	4076
1463	161293	3966
1464	161390	3855
1465	161487	3745
1466	161583	3634
1467	161679	3524
1468	161771	3413
1469	161872	3303
1470	161973	3193
1471	162057	3082
1472	162156	2972
1473	162256	2862
1474	162352	2751
1475	162513	2642
1476	162734	2534
1477	162940	2425
1478	163082	2315
1479	163221	2205
1480	163451	2096
1481	163630	1987
1482	163753	1877
1483	163840	1766
1484	163945	1656
1485	164060	1545
1486	164170	1435
1487	164309	1325
1488	164494	1215
1489	164709	1105
1490	164902	995
1491	165105	885
1492	165246	774
1493	165350	664
1494	165454	553
1495	165556	442
1496	165653	331
1497	165750	221
1498	165926	110
1499	166051	0
